web_scraper_order,web_scraper_start_url,nom,prix,adresse,image_lien
"1771780980-53","https://sn.coinafrique.com/categorie/chiens?page=10","Chiots Bulldog","Prix sur demande","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_2567149_uploaded_image1_1598112443.jpg"
"1771780980-54","https://sn.coinafrique.com/categorie/chiens?page=10","Chiots Doberman","650 000CFA","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_2567144_uploaded_image1_1598112288.jpg"
"1771780980-55","https://sn.coinafrique.com/categorie/chiens?page=10","Chiots Boerboel","Prix sur demande","Rufisque, Sénégal","https://images.coinafrique.com/thumb_2557147_uploaded_image1_1597839325.jpg"
"1771780980-56","https://sn.coinafrique.com/categorie/chiens?page=10","Femelle pitbull","120 000CFA","Bargny, Sénégal","https://images.coinafrique.com/thumb_2555833_uploaded_image1_1597802491.jpg"
"1771780980-57","https://sn.coinafrique.com/categorie/chiens?page=10","Canish","250 000CFA","Fass, Dakar, Sénégal","https://images.coinafrique.com/thumb_2551556_uploaded_image1_1597687758.jpg"
"1771780980-58","https://sn.coinafrique.com/categorie/chiens?page=10","Malinois","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_2544486_uploaded_image1_1597452357.jpg"
"1771780980-59","https://sn.coinafrique.com/categorie/chiens?page=10","Belger allemand","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_2544470_uploaded_image1_1597451496.jpg"
"1771780980-60","https://sn.coinafrique.com/categorie/chiens?page=10","Chiots berger allemand","250 000CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_2541838_uploaded_image1_1597368796.jpg"
"1771780980-61","https://sn.coinafrique.com/categorie/chiens?page=10","Chiots shih tzu","250 000CFA","Point E, Dakar, Sénégal","https://images.coinafrique.com/thumb_2536904_uploaded_image1_1597236557.jpg"
"1771780980-62","https://sn.coinafrique.com/categorie/chiens?page=10","Chiot Berger Allemand","150 000CFA","Rufisque, Sénégal","https://images.coinafrique.com/thumb_2535190_uploaded_image1_1597184067.jpg"
"1771780980-63","https://sn.coinafrique.com/categorie/chiens?page=10","Chiot berger malinois","250 000CFA","Diamniadio, Sénégal","https://images.coinafrique.com/thumb_2534330_uploaded_image1_1597162093.jpg"
"1771780980-64","https://sn.coinafrique.com/categorie/chiens?page=10","Chien chiwawa","300 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2533324_uploaded_image1_1597146281.jpg"
"1771780980-65","https://sn.coinafrique.com/categorie/chiens?page=10","Chiots Rottweiler","300 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2528100_uploaded_image1_1597008492.jpg"
"1771780980-66","https://sn.coinafrique.com/categorie/chiens?page=10","Berger allemand","175 000CFA","Sicap Liberté, Dakar, Sénégal","https://images.coinafrique.com/thumb_2508974_uploaded_image1_1596479158.jpg"
"1771780980-67","https://sn.coinafrique.com/categorie/chiens?page=10","Chiens  Berger allemand","200 000CFA","Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_2482151_uploaded_image1_1595683430.jpg"
"1771780980-68","https://sn.coinafrique.com/categorie/chiens?page=10","Yorkshire toy femelle","750 000CFA","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_2466136_uploaded_image1_1595344530.jpg"
"1771780980-69","https://sn.coinafrique.com/categorie/chiens?page=10","Chiots Bichons Maltais","195 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2460286_uploaded_image1_1595235680.jpg"
"1771780980-70","https://sn.coinafrique.com/categorie/chiens?page=10","Chiots Malinois","200 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2457699_uploaded_image1_1595163103.jpg"
"1771780980-71","https://sn.coinafrique.com/categorie/chiens?page=10","Chiots","300 000CFA","Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_2452744_uploaded_image1_1595018955.jpg"
